=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 124 of 133
runtime_tpchd_SQLServer_testonVM faster: 114 queries (91.9%)
runtime_tpchd_trainonMac_testonVM faster: 10 queries (8.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 114 of 124 comparable queries (91.9%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 50 of 133
"Mean difference (n=50): 53,911.86 ms"
"Median difference (n=50): 9,858.50 ms"
runtime_tpchd_SQLServer_testonVM faster: 43 queries (86.0%)
runtime_tpchd_trainonMac_testonVM faster: 7 queries (14.0%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 43 of 50 head-to-head queries (86.0%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonMac_testonVM Runtime (ms),Faster Model,Difference
Job48v1,"31,441",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job49v1,"54,804",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job49v2,"4,745","119,776",runtime_tpchd_SQLServer_testonVM,"115,031 ms faster"
Job56v2,0,Bad Plan,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Bad Plan)
Job58v2,"32,250","25,679",runtime_tpchd_trainonMac_testonVM,"-6,571 ms slower"
Job58v4,"58,348",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job59v3,634,"2,138",runtime_tpchd_SQLServer_testonVM,"1,504 ms faster"
Job59v4,300,"13,841",runtime_tpchd_SQLServer_testonVM,"13,541 ms faster"
Job63v0,681,"46,253",runtime_tpchd_SQLServer_testonVM,"45,572 ms faster"
Job63v1,"12,728","24,991",runtime_tpchd_SQLServer_testonVM,"12,263 ms faster"
Job63v3,8,3,runtime_tpchd_trainonMac_testonVM,-5 ms slower
Job68v1,"25,706","73,496",runtime_tpchd_SQLServer_testonVM,"47,790 ms faster"
Job68v2,"1,075","18,515",runtime_tpchd_SQLServer_testonVM,"17,440 ms faster"
Job68v3,499,Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job68v4,"20,390","38,945",runtime_tpchd_SQLServer_testonVM,"18,555 ms faster"
Job6v1,"27,552",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job6v2,"61,076",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job6v3,"8,848",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
